id,codigo,nombre,ubicacion
PH63,PH63,Card. Raúl Silva H. / esq. Av.Pdte. S.Allende,POINT(-70.6928833293339 -33.513730429019894)
PH64,PH64,Card. Raúl Silva H. / esq. Pasaje 20 Sur,POINT(-70.6939171950943 -33.51584915856745)
PH65,PH65,Card. Raúl Silva H. / esq. Pasaje 23 Sur,POINT(-70.69453800273048 -33.51711299892068)
PH66,PH66,Card. Raúl Silva H. / esq. Av. Frei Montalva,POINT(-70.69564614981567 -33.51938150426833)
PH704,PH704,Av. Edo. Frei Montalva / esq. Avenida Central,POINT(-70.69540899899587 -33.51958800057327)
PH78,PH78,Card. Raúl Silva H. / esq. Pasaje 23 Sur,POINT(-70.69464100231423 -33.51760699745883)
PH79,PH79,Card. Raúl Silva H. / esq. Managua,POINT(-70.69397987349431 -33.51629749170194)
PH80,PH80,Card. Raúl Silva H. / esq. Av.Pdte. S.Allende,POINT(-70.69293688310111 -33.51416280843056)
PH81,PH81,Card. Raúl Silva H. / esq. Pasaje 14 Sur,POINT(-70.69247900465611 -33.513246002676055)
PH83,PH83,Card. Raúl Silva H. / esq. Pasaje 7 Sur,POINT(-70.69106500198197 -33.510350996523336)
PH84,PH84,Card. Raúl Silva H. / esq. Buenaventura,POINT(-70.68961899535104 -33.50744099597865)
PH365,PH365,Maipú / esq. Juan Sierra Z.,POINT(-70.68523610813536 -33.50669709585304)
PH366,PH366,Avenida Lo Ovalle / esq. Inés de Suárez,POINT(-70.68018888584868 -33.50752487411548)
PH367,PH367,Club Hípico / esq. Calle A,POINT(-70.67823799880158 -33.50771899737867)
PH368,PH368,Parada 2 / Copa Pobl. Dávila,POINT(-70.67709699849539 -33.505941000634785)
PH369,PH369,Parada 2 / Plaza Miguel Dávila Carson,POINT(-70.67534696914612 -33.50328092542549)
PH370,PH370,Parada / Estadio Dávila,POINT(-70.67416099908206 -33.50145100303626)
PH371,PH371,Club Hípico / esq. Vecinal,POINT(-70.6732780032798 -33.5001909981552)
PH372,PH372,Club Hípico / esq. Departamental Ant,POINT(-70.67192600322258 -33.497957000258445)
PH373,PH373,Club Hípico / esq. Avenida Lazo,POINT(-70.67043600435855 -33.49566500211635)
PH374,PH374,Club Hípico / esq. Avenida La Marina,POINT(-70.66880900318434 -33.493217002775594)
PH375,PH375,Club Hípico / esq. Ángel Guarello,POINT(-70.66754599525397 -33.49127599655977)
PH376,PH376,Club Hípico / esq. Salesianos,POINT(-70.66582799456098 -33.488636000260975)
PH377,PH377,Club Hípico / esq. Lago Calafquén,POINT(-70.66466000322964 -33.4869440007505)
PH378,PH378,Club Hípico / esq. Nueva 4,POINT(-70.66467799918543 -33.48522699674148)
PH379,PH379,Club Hípico / esq. Enrique Matte,POINT(-70.66469792700558 -33.48271436489553)
PH380,PH380,Club Hípico / esq. I. Valdés Valdés,POINT(-70.66470384899357 -33.48099616932409)
PH381,PH381,Parada 4 / (M) P. Aguirre Cerda,POINT(-70.66474503371808 -33.47892900099746)
PA691,PA691,Centenario / esq. Las Fucsias,POINT(-70.66931169841467 -33.47583964805887)
PA690,PA690,Parada / Plaza Yarur,POINT(-70.66783799861699 -33.47407700356336)
PA673,PA673,Avenida Pedro Montt / esq. Club Hípico,POINT(-70.66519399908283 -33.47377999753107)
PA318,PA318,Avenida Beaucheff / esq. Av. Gral. Rondizzoni,POINT(-70.66334529656092 -33.470674205706814)
PA319,PA319,Avenida Beaucheff / esq. Marsella,POINT(-70.66345299930882 -33.4675147681204)
PA320,PA320,Parada / Movistar Arena,POINT(-70.66363247035042 -33.46366853144849)
PA321,PA321,Parada / Fantasilandia,POINT(-70.66384599474806 -33.45886999964319)
PA322,PA322,Parada 2 / Escuela de Ingeniería,POINT(-70.66464443419437 -33.456966320807865)
PA323,PA323,Av. Ricardo Cumming / esq. Santo Domingo,POINT(-70.66850499940853 -33.43825300173689)
PA324,PA324,Av. Ricardo Cumming / esq. San Pablo,POINT(-70.66881096267245 -33.43517088996704)
PA600,PA600,San Pablo / esq. Avenida Brasil,POINT(-70.66521619799757 -33.43482647626954)
PA226,PA226,San Pablo / esq. Almirante Barroso,POINT(-70.66356500364283 -33.43475699766697)
PA344,PA344,Parada 12 / (M) Santa Lucía,POINT(-70.647183389078 -33.44286020244538)
PA345,PA345,Parada 4 / (M) Universidad de Chile,POINT(-70.64964306475963 -33.44340756152443)
PA365,PA365,Parada 3 / (M) La Moneda,POINT(-70.65586815641441 -33.444746930482474)
PA232,PA232,Parada 6 / (M) Los Héroes,POINT(-70.66066299979529 -33.44713900034079)
PA233,PA233,Manuel Rodríguez / esq. Sazié,POINT(-70.6601856011634 -33.448790951050455)
PA234,PA234,Parada 3 / (M) Parque O'Higgins,POINT(-70.65720311615554 -33.46100510237764)
PI73,PI73,Parada / Mercado Lo Valledor,POINT(-70.68703499978177 -33.482414000794726)
PH581,PH581,Central / esq. Quactemoc,POINT(-70.68719677640003 -33.48699393803328)
PH52,PH52,Raúl Silva Henríquez / esq. Pasaje C,POINT(-70.68729200019504 -33.48899399824926)
PH53,PH53,Raúl Silva Henríquez / esq. Pasaje H,POINT(-70.6870560021676 -33.4915379967279)
PH54,PH54,Raúl Silva Henríquez / esq. Plano Regulador,POINT(-70.6867678652748 -33.49460133606935)
PH55,PH55,Raúl Silva Henríquez / esq. Fraternal,POINT(-70.6882780031428 -33.498367002118016)
PH56,PH56,Raúl Silva Henríquez / esq. Unión Ferroviaria,POINT(-70.68921700302111 -33.5002640019577)
PH57,PH57,Raúl Silva Henríquez / esq. Pasaje 6-Norte,POINT(-70.69056200304738 -33.50299799616785)
PH58,PH58,Card. Raúl Silva H. / esq. 1 Norte,POINT(-70.69191235844094 -33.505763679781154)
PH59,PH59,Buenaventura / esq. Avenida Central,POINT(-70.68970900489762 -33.50718642265053)
PH77,PH77,Card. Raúl Silva H. / esq. Av. Frei Montalva,POINT(-70.69570200364643 -33.519697995177296)
PH82,PH82,Card. Raúl Silva H. / esq. Acapulco,POINT(-70.69187600279253 -33.51201500339642)
PH85,PH85,Buenaventura / esq. El Riel,POINT(-70.69116999471856 -33.50658699792793)
PH86,PH86,Card. Raúl Silva H. / esq. Avenida Lo Ovalle,POINT(-70.69079700432414 -33.50375799944614)
PH87,PH87,Raúl Silva Henríquez / esq. Unión Ferroviaria,POINT(-70.6892960013898 -33.500705001277204)
PH88,PH88,Raúl Silva Henríquez / esq. Isla de Pascua,POINT(-70.68788100453929 -33.49785499793892)
PH89,PH89,Raúl Silva Henríquez / esq. Centro América,POINT(-70.68667500119392 -33.49423300183595)
PH90,PH90,Raúl Silva Henríquez / esq. Gerardo Barrios,POINT(-70.6868679975862 -33.49224299644908)
PH91,PH91,Raúl Silva Henríquez / esq. Cabo Cobo,POINT(-70.68719399502586 -33.488745999792094)
PH92,PH92,Avenida Cerrillos / esq. Av. Departamental,POINT(-70.68736399738687 -33.48598099892213)
PH93,PH93,Parada / Mercado Lo Valledor,POINT(-70.68599015362317 -33.482470571953115)
